time,x,y,theta
1753880305.748188,147.977127,4.932995,3.129999
1753880305.834018,147.879889,4.920001,3.104294
1753880305.948528,147.764383,4.924861,3.106329
1753880305.987370,147.656403,4.927036,3.102924
1753880306.092158,147.539652,4.925227,3.101665
1753880306.251198,147.415038,4.925579,3.103804
1753880306.293442,147.306294,4.932993,3.110367
1753880306.367433,147.192197,4.922946,3.095617
1753880306.480056,147.082734,4.931428,3.106034
1753880306.555073,146.968765,4.930054,3.100230
1753880306.661103,146.861376,4.931369,3.090534
1753880307.160776,146.747489,4.934584,3.094246
1753880307.253134,146.646431,4.939882,3.107215
1753880307.678773,146.561875,4.943717,-3.122042
1753880307.764143,146.483403,4.931366,-3.123599
1753880307.894773,146.411007,4.934180,-3.096886
1753880307.995847,146.349898,4.928827,-3.091441
1753880308.286163,146.283175,4.942158,-2.992356
1753880308.777084,146.209097,4.927494,-3.001617
1753880308.923497,146.139795,4.924903,-3.001263
1753880308.960672,146.065927,4.924056,-2.998345
1753880309.070722,145.993619,4.923522,-2.993547
1753880309.174010,145.923987,4.920687,-2.988786
1753880309.772426,145.851296,4.911819,-3.009369
1753880310.269172,145.777255,4.909192,-3.105938
1753880310.372400,145.713585,4.905460,-3.137710
1753880310.476397,145.640548,4.905798,-3.132469
1753880310.663034,145.569484,4.895711,-3.139001
1753880310.865924,145.469653,4.898709,-3.135148
1753880310.958436,145.406149,4.901161,-3.132671
1753880311.062153,145.320295,4.898423,-3.140190
1753880311.195199,145.241000,4.896556,-3.140314
1753880311.259704,145.162269,4.895248,-3.141314
1753880311.359732,145.090972,4.897531,3.141479
1753880311.461186,145.012124,4.896228,3.138434
1753880311.570496,144.939464,4.899707,3.134225
1753880311.662590,144.867685,4.899927,3.134854
1753880311.762928,144.780621,4.900614,3.139070
1753880311.864071,144.690541,4.898957,-3.133036
1753880311.963627,144.608561,4.901246,-3.121391
1753880312.070815,144.523642,4.897097,-3.120887
1753880312.266436,144.422903,4.899223,-3.113517
1753880312.375880,144.324191,4.900453,-3.113573
1753880312.583020,144.228006,4.897470,-3.112921
1753880312.669243,144.148371,4.874373,3.138767
1753880312.773982,144.062450,4.879217,-3.126164
1753880312.890221,143.966851,4.899471,-3.101066
1753880312.986546,143.883036,4.888712,-3.114169
1753880313.079537,143.798425,4.909341,-3.087362
1753880313.296164,143.711470,4.881329,-3.127346
1753880313.386153,143.625353,4.867151,-3.138775
1753880313.491800,143.523429,4.877446,-3.119928
1753880313.565584,143.426875,4.871991,-3.121826
1753880313.683661,143.333154,4.872698,-3.105983
1753880313.785814,143.232448,4.863785,-3.118598
1753880313.891532,143.124689,4.859397,-3.131134
1753880313.981118,143.005942,4.856244,-3.130849
1753880314.081539,142.927212,4.854772,-3.125130
1753880314.184884,142.805699,4.848843,-3.125404
1753880314.290051,142.682596,4.845766,-3.123310
1753880314.382960,142.575901,4.835878,-3.138348
1753880314.479733,142.456971,4.835065,-3.131319
1753880314.579823,142.304307,4.838452,-3.128188
1753880314.681705,142.205494,4.828694,-3.136276
1753880314.768038,142.080329,4.834223,-3.125859
1753880314.885063,141.925483,4.839688,-3.122582
1753880315.004825,141.792150,4.833513,-3.127354
1753880315.070258,141.676356,4.830963,-3.130379
1753880315.176731,141.543522,4.833930,-3.128306
1753880315.272192,141.408883,4.822423,3.136663
1753880315.366277,141.278384,4.828608,-3.133437
1753880315.478495,141.152367,4.822157,-3.136126
1753880315.573581,141.013321,4.824186,-3.118213
1753880315.705364,140.874622,4.814217,-3.127977
1753880315.798874,140.766489,4.806706,-3.132841
1753880315.895687,140.611614,4.808985,-3.120191
1753880315.977358,140.486728,4.801728,-3.127264
1753880316.077467,140.353686,4.794580,-3.131335
1753880316.171124,140.225715,4.786852,-3.140461
1753880316.291753,140.080133,4.792577,-3.133190
1753880316.382131,139.936287,4.785415,-3.137711
1753880316.473865,139.807196,4.783499,-3.133290
1753880316.600445,139.652857,4.777706,3.141471
1753880316.678503,139.521828,4.794843,-3.101743
1753880316.780213,139.389773,4.779652,-3.130439
1753880316.877083,139.258196,4.788303,-3.129225
1753880316.978356,139.095732,4.776337,3.126908
1753880317.078924,138.973098,4.773514,3.124132
1753880317.181348,138.841817,4.756030,3.122911
1753880317.284207,138.687940,4.742182,3.106325
1753880317.384103,138.544095,4.736071,3.112907
1753880317.487262,138.428940,4.735715,3.119979
1753880317.584071,138.276268,4.746901,3.137932
1753880317.694296,138.134509,4.734583,3.116926
1753880317.793105,137.993920,4.732624,3.116872
1753880317.898056,137.863427,4.746154,3.138645
1753880317.994484,137.711713,4.736841,3.122668
1753880318.106564,137.562492,4.750862,-3.139149
1753880318.186452,137.425070,4.783351,-3.095472
1753880318.288908,137.295681,4.743924,3.101572
1753880318.398648,137.147992,4.746151,3.110474
1753880318.489881,136.996580,4.774722,-3.126923
1753880318.574391,136.867143,4.754642,3.109982
1753880318.696615,136.719643,4.772675,-3.123642
1753880318.807049,136.579887,4.756203,3.111197
1753880318.891874,136.425285,4.764172,3.129093
1753880319.002620,136.289239,4.754521,3.132015
1753880319.094134,136.147153,4.758511,-3.132128
1753880319.195447,136.003618,4.753206,-3.097499
1753880319.275045,135.862557,4.746189,-3.097020
1753880319.384716,135.725283,4.751848,-3.084065
1753880319.500605,135.576406,4.746479,-3.103445
1753880319.580946,135.437193,4.723664,-3.137016
1753880319.702553,135.291818,4.744336,-3.115446
1753880319.803242,135.162228,4.733933,-3.126097
1753880319.889828,135.020141,4.721489,-3.129720
1753880319.994191,134.881272,4.714549,-3.127954
1753880320.083556,134.743291,4.723612,-3.112100
1753880320.198344,134.598230,4.714711,-3.134383
1753880320.290122,134.471066,4.705456,3.139984
1753880320.383774,134.333617,4.706729,-3.138109
1753880320.482849,134.203308,4.698932,3.138506
1753880320.585190,134.042518,4.706043,-3.121061
1753880320.686573,133.939705,4.709524,-3.119769
1753880320.786280,133.791480,4.705403,-3.120443
1753880320.893377,133.644157,4.703598,-3.120118
1753880320.987579,133.506777,4.707024,-3.121238
1753880321.084528,133.385255,4.710076,-3.114476
1753880321.187193,133.230584,4.714097,-3.115138
1753880321.290057,133.064794,4.701949,-3.130269
1753880321.392287,132.921721,4.701743,-3.127559
1753880321.489612,132.784963,4.718337,-3.109315
1753880321.591358,132.651490,4.693871,-3.104665
1753880321.714341,132.481924,4.681297,-3.079476
1753880321.794910,132.359385,4.651613,-3.095453
1753880321.895140,132.180164,4.694309,-2.986763
1753880322.002500,132.063104,4.674529,-3.012352
1753880322.117198,131.906443,4.649433,-3.040981
1753880322.233511,131.772972,4.646106,-3.035166
1753880322.295996,131.650930,4.632408,-3.054626
1753880322.394710,131.506855,4.630574,-3.026765
1753880322.494667,131.359816,4.621394,-3.024124
1753880322.596541,131.217390,4.609194,-3.027294
